x	y
200.5	200.0
201.0	200.0
201.5	200.0
202.0	200.0
202.5	200.0
203.0	200.0
203.5	200.0
204.0	200.0
204.5	200.0
205.0	200.0
205.5	200.0
206.0	200.0
206.5	200.0
207.0	200.0
207.5	200.0
208.0	200.0
208.5	200.0
209.0	200.0
209.5	200.0
210.0	200.0
210.5	200.0
211.0	200.0
211.5	200.0
212.0	200.0
212.5	200.0
213.0	200.0
213.5	200.0
214.0	200.0
214.5	200.0
215.0	200.0
215.5	200.0
216.0	200.0
216.5	200.0
217.0	200.0
217.5	200.0
218.0	200.0
218.5	200.0
219.0	200.0
219.5	200.0
220.0	200.0
220.5	200.0
221.0	200.0
221.5	200.0
222.0	200.0
222.5	200.0
223.0	200.0
223.5	200.0
224.0	200.0
224.5	200.0
225.0	200.0
225.5	200.0
226.0	200.0
226.5	200.0
227.0	200.0
227.5	200.0
228.0	200.0
228.5	200.0
229.0	200.0
229.5	200.0
230.0	200.0
230.5	200.0
231.0	200.0
231.5	200.0
232.0	200.0
232.5	200.0
233.0	200.0
233.5	200.0
234.0	200.0
234.5	200.0
235.0	200.0
235.5	200.0
236.0	200.0
236.5	200.0
237.0	200.0
237.5	200.0
238.0	200.0
238.5	200.0
239.0	200.0
239.5	200.0
240.0	200.0
240.5	200.0
241.0	200.0
241.5	200.0
242.0	200.0
242.5	200.0
243.0	200.0
243.5	200.0
244.0	200.0
244.5	200.0
245.0	200.0
245.5	200.0
246.0	200.0
246.5	200.0
247.0	200.0
247.5	200.0
248.0	200.0
248.5	200.0
249.0	200.0
249.5	200.0
250.0	200.0
250.5	200.0
251.0	200.0
251.5	200.0
252.0	200.0
252.5	200.0
253.0	200.0
253.5	200.0
254.0	200.0
254.5	200.0
255.0	200.0
255.5	200.0
256.0	200.0
256.5	200.0
257.0	200.0
257.5	200.0
258.0	200.0
258.5	200.0
259.0	200.0
259.5	200.0
260.0	200.0
260.5	200.0
261.0	200.0
261.5	200.0
262.0	200.0
262.5	200.0
263.0	200.0
